id;title;placeType;price;area;rooms;floor;district;city;hasElevator;smokingAllowed;animalAllowed;onlyLongTerm;description;author;phoneNumber
01;Gdansk Oliwa, 34,5mkw, wynajme;APARTMENT;1500.00;34.5;1;4;Oliwa;Gdansk;true;false;true;true;Jednopokojowe mieszkanie, zlokalizowane na osiedlu VII Ðwor w Oliwie. Widok z okna na Trojmiejski Park Krajobrazowy. Blisko do Uniwersytetu Gdanskiego (12 minut pieszo) oraz Olivia Business Centre (20 min pieszo). Mieszkanie jasne, przestronne, z osobna kuchnia, lazienka i przedpokojem. Oplaty miesieczne: czynsz do spoldzielni 350zl, gaz ok 30zl, prad ok 50zl.;Jan Kowalski;500500500
02;Dwupokojowe mieszkanie do wynajecia, Sopot;APARTMENT;1600.00;45.0;2;1;Wyscigi;Sopot;false;true;false;true;Mieszkanie na strzezonym osiedlu "Karlikowski Mlyn", bardzo blisko plazy i Monciaka (ok. 10min spacerem). Mieszkanie dwupokojowe (salon z aneksem kuchennym i sypialnia). W pelni umeblowane i wyposazone, do dyspozycji miejsce postojowe w hali garazowej. Wolne od wrzesnia 2018r., mozliwosc wynajmu dlugoterminowego. Czynsz 1600zl + oplaty ok 600zl. Kaucja 1600zl.;Mariusz Nowak; 600345678
03;Pokoj jednoosobowy na poddaszu z balkonem, Wrzeszcz;ROOM;840.00;12.0;3;3;Wrzeszcz;Gdansk;false;false;true;false;Do wynajecia pokoj jednoosobowy na ostatnim pietrze (poddaszu) w malej kamienicy. Pozostali lokatorzy mieszkania to osoby mlode, studiujace/pracujace. Mieszkanie z pelnym wyposazeniem. Atutem jest swietna lokalizacja mieszkania (1-5min do najblizszych przystankow autobusowych, tramwajowych, blisko galeria, sklepy wielkopowierzchniowe i mniejsze punkty uslugowe.;Aleksander;505505456
04;Pokoj do wynajecia w centrum Gdyni;ROOM;650.00;11.5;4;3;Centrum;Gdynia;true;false;false;true;Maly, przytulny pokoik w centrum Gdyni. Pokoj sloneczny, okna wychodza na strone pd-wsch. Do dyspozycji przestronna kuchnia, lazienka z prysznicem, duza szafa w przedpokoju. Pokoj umeblowany.Oplaty wynosza 50zl miesiecznie. Dobra komunikacja, bliskosc dworca PKP i przystanku autobusowego. Spacerem 15min nad morze i Skwer Kosciuszki. W niedalekim sasiedztwie las i park.;Basia;555666777
05;Polowa pokoju szuka lokatorki, VII Dwor;BED;570.00;18.0;2;3;Oliwa;Gdansk;false;true;true;false;Poszukiwana wspollokatorka do pokoju 2 osobowego. Pozostale pokoje zajete przez dwie studentki. W cene wliczone wszystkie oplaty. Wiecej informacji na priv.;Zosia;507705650
06;Szukam wspollokatora Wrzeszcz;BED;550.00;16.0;2;1;Wrzeszcz;Gdansk;true;false;false;false;Szukam wspollokatora do pokoju na okres od lipca do konca wrzesnia. Wspollokator to pracujacy student, spokojny, niepalacy. Pokoj w domu szeregowym, blisko przystanek tramwajowy. Pozostali lokatorzy to 3 osoby pracujace. W cene wliczone oplaty.;Janusz;557698049
07;Wynajme miejsce w pokoju;BED;600.00;19;3;3;Przymorze;Gdansk;false;false;true;false;Mam do wynajecia lozko w pokoju dwuosobowym. Mieszkanie 3-pokojowe. W pozostalych pokojach studentki UG. lazienka i toaleta oddzielnie. Blisko SKM, sklepy.;Jan Pokojnik;+48123456789
08;Ciekawa oferta Gdansk Wrzeszcz;ROOM;750.00;12;2;3;Wrzeszcz;Gdansk;false;false;true;true;Wynajme pokoj jednoosobowy studentowi. Mieszkanie 2 pokojowe z salonem, jedna lazienka i balkonem. Dobrze zlokalizowane.;Piotr Wrzeszcznik;+48987654321
09;Pokoj w dobrej lokalizacji;ROOM;700.00;13;3;1;Zaspa;Gdansk;true;true;true;false;Mam do wynajecia pokoj w mieszkaniu w bloku ze starego budownictwa. Mieszkanie wymaga remontu. Sa w nim 4 pokoje. Idealna lokalizacja, w sam raz dla studentow.Blisko SKM, Biedronka, sklepy.;Piotr Kowalczyk;+48583102112
10;Mieszkanie na Zaspie do wynajecia;APARTMENT;2300.00;68;3;2;Zaspa;Gdansk;true;true;true;true;Wynajme 3-pokojowe mieszkanie. Oprocz salonu sa jeszcze 2 sypialnie, lazienka i toaleta, kuchnia z aneksem, balkon. W cenie miejsce parkingowe i schowek na miotly. Dobra lokalizacja, blisko centrum handlowe. Mieszkanie po remoncie.;Ryszard;700789789
